Laagnaam;CADlaag;Type;Kolom1
afsluiter;co-afsluiter;punt;gw_kwk
aslijn;co-aslijn;lijn;gw_as
bodemverdediging;co-bodemverdediging;vlak;gw_bvd
brug;co-brug;vlak;gw_kbr
coupures;co-coupures;vlak;gw_kcp
dam;co-dam;vlak;gw_kvd
duiker;co-duiker;lijn;gw_kdu
dwarsprofiel;co-dwarsprofiel;lijn;gw_dwp
gemaal;co-gemaal;vlak;gw_kgm
gemaalhartpunt;co-gemaalhartpunt;punt;gw_kgmp
gemaalkering;co-gemaalkering;vlak;gw_kgm
inspectieput;co-inspectieput;punt;gw_kdu
sifon;co-sifon;vlak;gw_kwk
sluis;co-sluis;vlak;gw_ksl
steiger;co-steiger;vlak;gw_alg
stuw;co-stuw;vlak;gw_kst
taludverdediging;co-taludverdediging;vlak;gw_tal
vispassage;co-vispassage;vlak;gw_kvp
wadi;co-wadi;vlak;gw_wad
wandconstructie;co-wandconstructie;lijn;gw_kgm
watergang;co-watergang;vlak;gw_wgc
